date,year,return,value,n_features
2023-10-09,2023,-0.038924693288413456,381235.57749731466,15
2023-10-16,2023,-0.03380375595634819,368348.38307371794,15
2023-10-23,2023,-0.043636686557694516,352274.8801374965,15
2023-10-30,2023,0.1433847521824966,402785.72652613017,15
2023-11-06,2023,0.014036091323309675,408439.2637673766,14
2023-11-13,2023,0.0838677579428219,442694.14907536336,14
2023-11-20,2023,0.005443750630942201,445104.06562870677,14
2023-11-27,2023,0.030654957407470353,458748.7118024467,14
2023-12-04,2023,0.004890135385925143,460992.0551112794,13
2023-12-11,2023,0.10005695687420005,507117.51728889754,13
2023-12-18,2023,0.014751169001463126,514598.0934900285,13
2024-01-08,2024,-0.038834154910852146,494614.1114106076,13
2024-01-22,2024,-0.014217274864228935,487582.0466369566,14
2024-01-29,2024,-0.011531197625215883,481959.6416986786,14
2024-02-05,2024,0.039574967433014266,501033.1788229311,14
2024-02-12,2024,0.016010072897124174,509054.75653976406,14
2024-02-26,2024,0.04348504967938566,531191.0279174233,14
2024-03-04,2024,0.04050199437099672,552705.3239400587,14
2024-03-11,2024,-0.015603838515179746,544080.9993188179,14
2024-03-18,2024,0.003422221073057674,545942.964780137,14
2024-03-25,2024,0.02361542484433572,558835.6398341961,13
2024-04-01,2024,-0.020540580738752378,547356.8312544894,13
2024-04-08,2024,-0.026128670811865328,533055.1247940151,13
2024-04-15,2024,-0.015772050919314985,524647.7522229621,13
2024-04-22,2024,0.07178843941655143,562311.3955984501,14
2024-04-29,2024,0.017026616561260387,571885.6561193322,14
2024-05-06,2024,-0.034061620326237406,552406.3040305744,14
2024-05-13,2024,0.02335605649640644,565308.3368764835,14
2024-05-20,2024,-0.014572074259776325,557070.6218118487,12
2024-06-03,2024,0.026090471538764436,571604.8570153125,12
2024-06-10,2024,-0.014914264073939943,563079.7912318395,12
2024-06-17,2024,0.00023281865059779916,563210.8867090129,12
2024-06-24,2024,0.025834447998383525,577761.1290738203,13
2024-07-01,2024,0.030758932368179958,595532.4445679653,13
2024-07-08,2024,0.012971068367477967,603257.1366215077,13
2024-07-15,2024,-0.028243552904548774,586219.0117682915,13
2024-07-22,2024,-0.06141185069500813,550218.217343002,13
2024-07-29,2024,-0.07716825255302236,507758.83898780344,13
2024-08-05,2024,0.006122066142948834,510867.3721847537,13
2024-08-12,2024,0.06928067074765887,546260.6063928073,13
2024-08-19,2024,0.013596278658037165,553687.7178172324,13
2024-08-26,2024,-0.09566474211655929,500719.3250791406,13
2024-09-09,2024,0.05508224664216989,528300.0704416507,13
2024-09-16,2024,0.006570120871686025,531771.0657609726,13
2024-09-23,2024,0.015312507190907588,539913.814029354,13
2024-09-30,2024,-0.01631353222689682,531105.9126244393,13
2024-10-07,2024,-0.0018224736013918274,530137.9861191382,13
2024-10-14,2024,0.010440166820969154,535672.7151323545,13
2024-10-21,2024,-0.006350580654599447,532270.8823504383,13
2024-10-28,2024,-0.07493371988100835,492385.84515157336,13
2024-11-04,2024,0.04298393741935121,513550.52750574297,13
2024-11-11,2024,-0.04748807415654951,489163.00197241514,13
2024-11-18,2024,0.07348391325459415,525108.6135767129,13
2024-11-25,2024,-0.008355366059661718,520721.138889198,13
2024-12-02,2024,0.03869401987007335,540869.9329841438,13
2024-12-09,2024,-0.04206582139410394,518117.79498579184,13
2024-12-16,2024,-0.0445432196357516,495039.1602465484,13
2024-12-23,2024,0.0019380666797559232,495998.5791481966,13
2024-12-30,2024,0.02909429154504528,510429.3064158624,13
2025-01-06,2025,-0.041209072419614336,489394.9881626776,13
2025-01-13,2025,0.12756579964065567,551825.0511677788,14
2025-01-27,2025,0.06895084942663214,589873.8571806919,14
2025-02-03,2025,0.02317174578710556,603542.2642457422,14
2025-02-10,2025,0.015358800891767988,612811.9497120595,14
2025-02-24,2025,-0.05106296807911163,581519.9526854145,13
2025-03-03,2025,-0.012826447097486727,574061.117776162,13
2025-03-10,2025,0.08503819272777872,622878.2377471353,13
2025-03-17,2025,-0.005478982754468786,619465.4986243849,13
2025-03-24,2025,-0.08220196456843597,568544.2176550947,13
2025-03-31,2025,-0.1396873224724516,489125.79818365973,13
2025-04-07,2025,0.034765203381216095,506130.3560365143,13
