date,ticker,action,price,shares,amount,cash_balance,total_value,strategy,pnl
2025-11-21,APP,BUY,520.260009765625,1,520.5201397705077,1134.5811536703254,9865.854038222327,new_ml,0.0
2025-11-24,MU,SELL,223.92999267578125,4,895.2721107177734,2029.853264388099,10188.375230589882,new_ml,89.79213024902344
2025-11-24,PLTR,SELL,162.25,6,973.0132500000001,3002.866514388099,10188.375230589882,new_ml,38.543279296875085
2025-11-24,WDC,SELL,150.80873107910156,7,1055.1332869949342,4057.999801383033,10188.375230589882,new_ml,81.58609156036391
2025-11-24,APP,SELL,559.7999877929688,1,559.5200877990723,4617.5198891821055,10188.375230589882,new_ml,39.26007803344726
2025-11-24,LULU,BUY,169.6699981689453,6,1018.5289990081786,3598.990890173927,10188.375230589882,new_ml,0.0
2025-11-24,TTD,BUY,39.060001373291016,26,1016.0678157234191,2582.9230744505076,10188.375230589882,new_ml,0.0
2025-11-24,CHTR,BUY,199.0800018310547,5,995.897709159851,1587.0253652906565,10188.375230589882,new_ml,0.0
2025-11-24,BLDR,BUY,100.52999877929688,10,1005.8026377868651,581.2227275037914,10188.375230589882,new_ml,0.0
2025-11-25,LYB,SELL,45.695369720458984,23,1050.4680068187715,1631.690734322563,10508.297823634162,new_ml,94.4909369640352
2025-11-25,TTD,SELL,39.09000015258789,26,1015.8318339653016,2647.5225682878645,10508.297823634162,new_ml,0.271798259735192
2025-11-25,CHTR,SELL,200.75999450683594,5,1003.2980725479126,3650.8206408357773,10508.297823634162,new_ml,7.898063392639187
2025-11-25,BLDR,SELL,108.97000122070312,10,1089.1551622009279,4739.975803036705,10508.297823634162,new_ml,83.85517440795911
2025-11-25,MU,BUY,224.52999877929688,4,898.569055114746,3841.406747921959,10508.297823634162,new_ml,0.0
2025-11-25,LRCX,BUY,151.68028259277344,6,910.5367364044189,2930.8700115175398,10508.297823634162,new_ml,0.0
2025-11-25,INTC,BUY,35.83000183105469,29,1039.5895881271363,1891.2804233904035,10508.297823634162,new_ml,0.0
2025-11-25,STZ,BUY,132.17999267578125,7,925.722578704834,965.5578446855695,10508.297823634162,new_ml,0.0
2025-11-26,FDS,SELL,276.30999755859375,3,828.5155276794434,1794.0733723650128,10794.367834614768,new_ml,-39.020696685790995
2025-11-26,HOOD,SELL,128.1999969482422,9,1153.2230725479126,2947.2964449129254,10794.367834614768,new_ml,197.33308078765867
2025-11-26,STZ,SELL,134.88999938964844,7,943.7578807296753,3891.054325642601,10794.367834614768,new_ml,18.49793199920657
2025-11-26,TTD,BUY,39.11000061035156,27,1056.498001487732,2834.556324154869,10794.367834614768,new_ml,0.0
2025-11-26,ARE,BUY,53.56999969482422,20,1071.9356938934325,1762.6206302614364,10794.367834614768,new_ml,0.0
2025-11-26,PAYC,BUY,160.82000732421875,6,965.4025039672852,797.2181262941513,10794.367834614768,new_ml,0.0
2025-11-28,MU,SELL,236.47999572753906,4,945.4470229187012,1742.6651492128526,10979.609651562707,new_ml,47.32702780151374
2025-11-28,LRCX,SELL,155.74359130859375,6,933.9943170776368,2676.6594662904895,10979.609651562707,new_ml,23.91262152099614
2025-11-28,INTC,SELL,40.560001373291016,29,1175.6519198055269,3852.3113860960166,10979.609651562707,new_ml,136.58186670494092
2025-11-28,PAYC,SELL,161.1699981689453,6,966.5364790191651,4818.847865115182,10979.609651562707,new_ml,1.6164350738525854
2025-11-28,FISV,BUY,61.470001220703125,17,1045.512515762329,3773.335349352853,10979.609651562707,new_ml,0.0
2025-11-28,DECK,BUY,88.02999877929688,12,1056.8881653442381,2716.447184008615,10979.609651562707,new_ml,0.0
2025-11-28,ALB,BUY,129.99000549316406,8,1040.440003967285,1676.0071800413298,10979.609651562707,new_ml,0.0
2025-11-28,CPRT,BUY,38.97999954223633,28,1091.9857071762085,584.0214728651213,10979.609651562707,new_ml,0.0
2025-12-01,LULU,SELL,182.41000366210938,6,1093.9127919616699,1677.9342648267911,11004.011573725717,new_ml,75.892802947998
2025-12-01,ALB,SELL,128.3300018310547,8,1026.1266946411133,2704.0609594679045,11004.011573725717,new_ml,-13.793349304199182
2025-12-01,CPRT,SELL,39.150001525878906,28,1095.6519427032472,3799.7129021711517,11004.011573725717,new_ml,4.211955520629999
2025-12-01,LRCX,BUY,154.53558349609375,7,1082.2899590148925,2717.422943156259,11004.011573725717,new_ml,0.0
2025-12-01,CHTR,BUY,196.94000244140625,5,985.1923622131347,1732.230580943124,11004.011573725717,new_ml,0.0
2025-12-01,FDS,BUY,277.1300048828125,3,831.8057096557617,900.4248712873624,11004.011573725717,new_ml,0.0
2025-12-02,DECK,SELL,91.7699966430664,12,1100.6893397369386,2001.1142110243009,11037.254949412363,new_ml,44.329354385376064
2025-12-02,LRCX,SELL,157.9300079345703,7,1104.9573005142213,3106.071511538522,11037.254949412363,new_ml,23.208216041565038
2025-12-02,HOOD,BUY,125.94999694824219,8,1008.1037755737304,2097.9677359647912,11037.254949412363,new_ml,0.0
2025-12-02,WDC,BUY,159.86146545410156,6,959.6483771209716,1138.3193588438196,11037.254949412363,new_ml,0.0
2025-12-03,BAX,SELL,18.889999389648438,54,1019.5499370574952,2157.8692959013147,10974.399292010323,new_ml,49.14340095520026
2025-12-03,STX,SELL,258.6700134277344,3,775.6220352630615,2933.4913311643763,10974.399292010323,new_ml,14.04203343200686
2025-12-03,CHTR,SELL,199.9600067138672,5,999.3001335525513,3932.7914647169277,10974.399292010323,new_ml,14.600121345520051
2025-12-03,FDS,SELL,279.1499938964844,3,837.0312566986084,4769.822721415536,10974.399292010323,new_ml,5.641242050170945
2025-12-03,LRCX,BUY,159.75,6,958.97925,3810.843471415536,10974.399292010323,new_ml,0.0
2025-12-03,DECK,BUY,94.97000122070312,11,1045.1923484344481,2765.6511229810876,10974.399292010323,new_ml,0.0
2025-12-03,MU,BUY,234.16000366210938,4,937.1083346557617,1828.542788325326,10974.399292010323,new_ml,0.0
2025-12-03,UNH,BUY,337.44122314453125,3,1012.8298312683105,815.7129570570155,10974.399292010323,new_ml,0.0
2025-12-04,CMG,SELL,34.150001525878906,31,1058.120722278595,1873.8336793356104,10955.95116201307,new_ml,77.59074829483029
2025-12-04,WDC,SELL,161.0,6,965.517,2839.3506793356105,10955.95116201307,new_ml,6.348207275390678
2025-12-04,LRCX,SELL,157.08999633789062,6,942.0687080383301,3781.4193873739405,10955.95116201307,new_ml,-16.4312919616699
2025-12-04,UNH,SELL,331.26275634765625,3,993.2913749084473,4774.710762282388,10955.95116201307,new_ml,-19.032294525146426
2025-12-04,AMD,BUY,215.97999572753906,5,1080.439928627014,3694.2708336553737,10955.95116201307,new_ml,0.0
2025-12-04,LYB,BUY,43.15999984741211,25,1079.5394961833954,2614.7313374719783,10955.95116201307,new_ml,0.0
